uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:145,skos:Concept,145,colt:fossieltypes,,Balanus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:642,skos:Concept,642,colt:fossieltypes,,Barbatia marullensis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:641,skos:Concept,641,colt:fossieltypes,,Barbatia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:203,skos:Concept,203,colt:fossieltypes,,belemnieten,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:125,skos:Concept,125,colt:fossieltypes,,Belemnitella mucronata,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:201,skos:Concept,201,colt:fossieltypes,,Belemnitella sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:436,skos:Concept,436,colt:fossieltypes,,Bellinurus Céphaloth.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:437,skos:Concept,437,colt:fossieltypes,,Bellinurus reginae,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:102,skos:Concept,102,colt:fossieltypes,,Bellinurus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:438,skos:Concept,438,colt:fossieltypes,,Beyrichia arcuata,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:439,skos:Concept,439,colt:fossieltypes,,Beyrichia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:205,skos:Concept,205,colt:fossieltypes,,Bivalven,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:271,skos:Concept,271,colt:fossieltypes,,Bothrodendron minutifolium,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:440,skos:Concept,440,colt:fossieltypes,,Bothrodendron punctatum,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:22,skos:Concept,22,colt:fossieltypes,,Bothrodendron sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:441,skos:Concept,441,colt:fossieltypes,,Bothrostrobus olryi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:23,skos:Concept,23,colt:fossieltypes,,Bothrostrobus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:192,skos:Concept,192,colt:fossieltypes,,Bourgueticrinus ellipticus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:442,skos:Concept,442,colt:fossieltypes,,Bourgueticrinus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:62,skos:Concept,62,colt:fossieltypes,,brachiopoden,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:159,skos:Concept,159,colt:fossieltypes,,Bryozoa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:256,skos:Concept,256,colt:fossieltypes,,Buccinum sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:443,skos:Concept,443,colt:fossieltypes,,Calamites approximatus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:444,skos:Concept,444,colt:fossieltypes,,Calamites carinatus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:272,skos:Concept,272,colt:fossieltypes,,Calamites cisti,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:273,skos:Concept,273,colt:fossieltypes,,Calamites indulatus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:445,skos:Concept,445,colt:fossieltypes,,Calamites ostraviensis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:446,skos:Concept,446,colt:fossieltypes,,Calamites paleaceus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:274,skos:Concept,274,colt:fossieltypes,,Calamites ramosus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:447,skos:Concept,447,colt:fossieltypes,,Calamites semicircularis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:24,skos:Concept,24,colt:fossieltypes,,Calamites sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:275,skos:Concept,275,colt:fossieltypes,,Calamites suckowi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:448,skos:Concept,448,colt:fossieltypes,,Calamites undulatus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:409,skos:Concept,409,colt:fossieltypes,,Calamites verticillatus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:278,skos:Concept,278,colt:fossieltypes,,Calamophyllites goepperti,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:81,skos:Concept,81,colt:fossieltypes,,Calamophyllites sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:279,skos:Concept,279,colt:fossieltypes,,Calamophyllites verticillatus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:277,skos:Concept,277,colt:fossieltypes,,Calamostachys germanica,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:450,skos:Concept,450,colt:fossieltypes,,Calamostachys ramosa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:25,skos:Concept,25,colt:fossieltypes,,Calamostachys sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:184,skos:Concept,184,colt:fossieltypes,,Calcarina calcitrapoides,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:183,skos:Concept,183,colt:fossieltypes,,Calcarina sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:240,skos:Concept,240,colt:fossieltypes,,Calianassa fayiasi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:231,skos:Concept,231,colt:fossieltypes,,Calianassa sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:157,skos:Concept,157,colt:fossieltypes,,Cancellaria sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:50,skos:Concept,50,colt:fossieltypes,,Cantheliophorus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:451,skos:Concept,451,colt:fossieltypes,,Carbonia acuta,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:404,skos:Concept,404,colt:fossieltypes,,Carbonia fabulina,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:104,skos:Concept,104,colt:fossieltypes,,Carbonia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:280,skos:Concept,280,colt:fossieltypes,,Carbonicola acuta,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:453,skos:Concept,453,colt:fossieltypes,,Carbonicola acuta vel. Robusta,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:281,skos:Concept,281,colt:fossieltypes,,Carbonicola aquilina,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:613,skos:Concept,613,colt:fossieltypes,,Carbonicola aquilina acuta,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:605,skos:Concept,605,colt:fossieltypes,,Carbonicola aquilina var. Phrygiana,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:310,skos:Concept,310,colt:fossieltypes,,Carbonicola callopristodus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:282,skos:Concept,282,colt:fossieltypes,,Carbonicola nucularis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:454,skos:Concept,454,colt:fossieltypes,,Carbonicola obtusa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:283,skos:Concept,283,colt:fossieltypes,,Carbonicola ovalis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:455,skos:Concept,455,colt:fossieltypes,,Carbonicola phrygiana,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:456,skos:Concept,456,colt:fossieltypes,,Carbonicola pyritisées,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:457,skos:Concept,457,colt:fossieltypes,,Carbonicola robusta,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:284,skos:Concept,284,colt:fossieltypes,,Carbonicola similis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:5,skos:Concept,5,colt:fossieltypes,,Carbonicola sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:460,skos:Concept,460,colt:fossieltypes,,Carbonicola turgida,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:356,skos:Concept,356,colt:fossieltypes,,Cardita kickxi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:345,skos:Concept,345,colt:fossieltypes,,Cardita sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:655,skos:Concept,655,colt:fossieltypes,,Cardium becksi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:260,skos:Concept,260,colt:fossieltypes,,Cardium cingulatum,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:674,skos:Concept,674,colt:fossieltypes,,Cardium nöggerathi,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:140,skos:Concept,140,colt:fossieltypes,,Cardium sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:405,skos:Concept,405,colt:fossieltypes,,Carpolites perpusillus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:75,skos:Concept,75,colt:fossieltypes,,Carpolites sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:649,skos:Concept,649,colt:fossieltypes,,Cerithes sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:217,skos:Concept,217,colt:fossieltypes,,Cerithium decheni,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:664,skos:Concept,664,colt:fossieltypes,,Cerithium koeneni,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:216,skos:Concept,216,colt:fossieltypes,,Cerithium sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:317,skos:Concept,317,colt:fossieltypes,,Cheirodus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:347,skos:Concept,347,colt:fossieltypes,,Cheirodus striatus,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:239,skos:Concept,239,colt:fossieltypes,,Chenopus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:685,skos:Concept,685,colt:fossieltypes,,Chitinozoa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:644,skos:Concept,644,colt:fossieltypes,,Chlamys sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:174,skos:Concept,174,colt:fossieltypes,,Chonetes papilionacea,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:119,skos:Concept,119,colt:fossieltypes,,Chonetes sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:164,skos:Concept,164,colt:fossieltypes,,Cidaris sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:461,skos:Concept,461,colt:fossieltypes,,Cingularia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:462,skos:Concept,462,colt:fossieltypes,,Cingularia typica,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:463,skos:Concept,463,colt:fossieltypes,,Cochlichnus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:300,skos:Concept,300,colt:fossieltypes,,Coelacanthus elegans,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:79,skos:Concept,79,colt:fossieltypes,,Coelacanthus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:90,skos:Concept,90,colt:fossieltypes,,Coelonautilus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:349,skos:Concept,349,colt:fossieltypes,,coniferen,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:234,skos:Concept,234,colt:fossieltypes,,coprolieten,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:146,skos:Concept,146,colt:fossieltypes,,Corbula sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:464,skos:Concept,464,colt:fossieltypes,,Cordaianthus pitcairniae,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:465,skos:Concept,465,colt:fossieltypes,,Cordaianthus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:466,skos:Concept,466,colt:fossieltypes,,Cordaicarpus cordai,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
