uri,dc.identifier,notation,prefLabel,definition,note,inScheme,topConceptOf
concept:45,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.45,45,sporen / sporenregen,sporen / sporenregen,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:46,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.46,46,takjes / twijgen,takjes / twijgen,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:47,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.47,47,Stigmaria sp.,Stigmaria sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:48,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.48,48,Ulodendron sp.,Ulodendron sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:49,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.49,49,Ulostrobus sp.,Ulostrobus sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:50,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.50,50,Cantheliophorus sp.,Cantheliophorus sp.,onbepaald,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:51,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.51,51,Myriophyllites sp.,Myriophyllites sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:52,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.52,52,Planolites ophthalmoides,Planolites ophthalmoides,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:53,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.53,53,Planolites montanus,Planolites montanus,brakwaterichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:54,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.54,54,Sinusites = Cochlichnus,Sinusites = Cochlichnus,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:55,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.55,55,Guilielmites sp.,Guilielmites sp.,zoetwaterichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:56,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.56,56,graafgang,graafgang,ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:57,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.57,57,pyriettubulatie,pyriettubulatie,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:58,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.58,58,Orbiculoides sp.,Orbiculoides sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:59,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.59,59,arthropoden,arthropoden (geleedpotigen),zoetwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:60,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.60,60,schelpen / schelpenresten,schelpen / schelpenresten,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:61,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.61,61,Entomostraca,Entomostraca (subklasse van crustacea / kreeftachtigen),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:62,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.62,62,brachiopoden,brachiopoden (armpotigen),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:63,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.63,63,Neuropteris tenuifolia,Neuropteris tenuifolia,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:64,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.64,64,Trigonocarpus sp.,Trigonocarpus sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:65,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.65,65,Rhabdoderma sp.,Rhabdoderma sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:66,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.66,66,pecten,pecten (geslacht van tweekleppige weekdieren),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:67,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.67,67,goniatieten,goniatieten (geslacht van Cephalopoda / inktvisachtigen),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:68,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.68,68,spiculae,spiculae,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:69,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.69,69,stromatoporen,stromatoporen,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:70,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.70,70,koralen,koralen,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:71,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.71,71,algaire mat / laminiet,algaire mat / laminiet,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:72,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.72,72,crinoïden,crinoïden (zeelelies),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:73,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.73,73,nummulieten,nummulieten (familie van grote schijfvormige foraminiferen),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:74,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.74,74,Lycopodites sp.,Lycopodites sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:75,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.75,75,Carpolites sp.,Carpolites sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:76,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.76,76,Artisia sp.,Artisia sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:77,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.77,77,Palaeostachya sp.,Palaeostachya sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:78,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.78,78,Palmatopteris sp.,Palmatopteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:79,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.79,79,Coelacanthus sp.,Coelacanthus sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:80,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.80,80,Lepidophloios sp.,Lepidophloios sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:81,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.81,81,Calamophyllites sp.,Calamophyllites sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:82,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.82,82,Lepidodendron aculeatum,Lepidodendron aculeatum,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:83,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.83,83,Corynepteris coralloides,Corynepteris coralloides,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:84,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.84,84,Aphlebia sp.,Aphlebia sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:85,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.85,85,Elonichthys sp.,Elonichthys sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:86,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.86,86,Rhizodopsis sp.,Rhizodopsis sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:87,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.87,87,Lepidospermum sp.,Lepidospermum sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:88,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.88,88,Posidoniella sp.,Posidoniella sp.,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:89,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.89,89,Corynepteris sp.,Corynepteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:90,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.90,90,Coelonautilus sp.,Coelonautilus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:91,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.91,91,Eurypterus sp.,Eurypterus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:92,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.92,92,Aviculopecten sp.,Aviculopecten sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:93,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.93,93,Pterinopecten sp.,Pterinopecten sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:94,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.94,94,Renaultia sp.,Renaultia sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:95,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.95,95,Rhadinichtys sp.,Rhadinichtys sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:96,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.96,96,Hexaspermum sp.,Hexaspermum sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:97,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.97,97,Adiantites sp.,Adiantites sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:98,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.98,98,Pinakodendron sp.,Pinakodendron sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
